GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
portfolio,com.codegroup.portfolio.dto,TokenResponseDTO,22,0,0,0,3,0,2,0,2,0
portfolio,com.codegroup.portfolio.dto,RefreshRequestDTO,6,0,0,0,1,0,1,0,1,0
portfolio,com.codegroup.portfolio.dto,MembroDTO,0,12,0,0,0,1,0,1,0,1
portfolio,com.codegroup.portfolio.dto,ProjetoDTO,15,0,0,0,1,0,1,0,1,0
portfolio,com.codegroup.portfolio.dto,AtualizarStatusDTO,0,6,0,0,0,1,0,1,0,1
portfolio,com.codegroup.portfolio.dto,RegisterRequestDTO,12,0,0,0,1,0,1,0,1,0
portfolio,com.codegroup.portfolio.dto,ProjetoRequestDTO,0,30,0,0,0,1,0,1,0,1
portfolio,com.codegroup.portfolio.dto,ProjetoResponseDTO,0,36,0,0,0,1,0,1,0,1
portfolio,com.codegroup.portfolio.dto,LoginRequestDTO,9,0,0,0,1,0,1,0,1,0
portfolio,com.codegroup.portfolio.dto,RelatorioPortfolioDTO,15,0,0,0,1,0,1,0,1,0
portfolio,com.codegroup.portfolio.client,MembroExternalClient,79,0,4,0,16,0,7,0,5,0
portfolio,com.codegroup.portfolio.mapper,ProjetoMapper,2,35,1,1,1,14,1,1,0,1
portfolio,com.codegroup.portfolio.mapper,MembroMapper,16,14,2,2,7,3,2,2,1,1
portfolio,com.codegroup.portfolio.controller,MembroExternalApiMockController,105,0,2,0,18,0,5,0,4,0
portfolio,com.codegroup.portfolio.controller,AuthController,33,0,0,0,7,0,5,0,5,0
portfolio,com.codegroup.portfolio.controller,MembroController,27,0,0,0,5,0,4,0,4,0
portfolio,com.codegroup.portfolio.controller,ProjetoController,53,0,0,0,9,0,7,0,7,0
portfolio,com.codegroup.portfolio.controller,RelatorioController,11,0,0,0,2,0,2,0,2,0
portfolio,com.codegroup.portfolio.exception,GlobalExceptionHandler,107,0,0,0,23,0,11,0,11,0
portfolio,com.codegroup.portfolio.exception,ApiError,30,0,0,0,3,0,2,0,2,0
portfolio,com.codegroup.portfolio.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
portfolio,com.codegroup.portfolio.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
portfolio,com.codegroup.portfolio.service,ProjetoService,101,262,11,17,20,58,11,18,3,12
portfolio,com.codegroup.portfolio.service,MembroService,93,0,2,0,18,0,10,0,9,0
portfolio,com.codegroup.portfolio.service,AuthService,199,0,6,0,48,0,11,0,8,0
portfolio,com.codegroup.portfolio.service,RefreshTokenService,16,68,0,4,6,17,2,7,2,5
portfolio,com.codegroup.portfolio.service,ProjetoSpecification,66,0,10,0,12,0,7,0,2,0
portfolio,com.codegroup.portfolio.service,ClassificacaoRiscoService,0,70,0,16,0,14,0,12,0,4
portfolio,com.codegroup.portfolio.service,JwtService,6,115,1,3,1,31,3,11,2,10
portfolio,com.codegroup.portfolio.service,RelatorioService,151,0,10,0,31,0,12,0,7,0
portfolio,com.codegroup.portfolio.service,CustomUserDetailsService,54,0,2,0,12,0,5,0,4,0
portfolio,com.codegroup.portfolio.entity,Projeto,369,122,86,0,0,14,47,25,4,25
portfolio,com.codegroup.portfolio.entity,Usuario,218,27,41,1,6,3,35,3,14,3
portfolio,com.codegroup.portfolio.entity,Membro,147,25,30,0,2,5,23,5,8,5
portfolio,com.codegroup.portfolio.entity,RefreshToken,212,34,42,0,3,6,32,6,11,6
portfolio,com.codegroup.portfolio.entity,RefreshToken.RefreshTokenBuilder,19,37,0,0,0,1,2,6,2,6
portfolio,com.codegroup.portfolio.entity,Usuario.UsuarioBuilder,13,42,0,0,0,1,1,7,1,7
portfolio,com.codegroup.portfolio.entity,Projeto.ProjetoBuilder,48,78,2,2,0,1,6,9,4,9
portfolio,com.codegroup.portfolio.entity,Membro.MembroBuilder,9,28,0,0,0,1,1,5,1,5
portfolio,com.codegroup.portfolio.enums,StatusProjeto,2,98,2,10,1,19,2,7,0,3
portfolio,com.codegroup.portfolio.enums,AtribuicaoMembro,0,27,0,0,0,5,0,1,0,1
portfolio,com.codegroup.portfolio.enums,ClassificacaoRisco,0,21,0,0,0,4,0,1,0,1
portfolio,com.codegroup.portfolio,PortfolioApplication,8,0,0,0,3,0,2,0,2,0
portfolio,com.codegroup.portfolio.filter,JwtAuthenticationFilter,84,0,10,0,20,0,8,0,3,0
portfolio,com.codegroup.portfolio.config,AuthConfig,27,0,0,0,7,0,4,0,4,0
portfolio,com.codegroup.portfolio.config,RestTemplateConfig,21,0,0,0,7,0,3,0,3,0
portfolio,com.codegroup.portfolio.config,OpenApiConfig,48,0,0,0,15,0,2,0,2,0
portfolio,com.codegroup.portfolio.config,SecurityConfig,89,0,0,0,13,0,5,0,5,0
portfolio,com.codegroup.portfolio.config,DataInitializer,101,0,4,0,25,0,6,0,4,0
